Id,y
50100,1.7396165105752268
50101,2.175087742694997
50102,1.6222599069068573
50103,2.3604193439579992
50104,1.6117010132767264
50105,1.4787177688920004
50106,1.9583605386852456
50107,2.3553484661338033
50108,1.7981318681074203
50109,1.9066815749519428
50110,1.2698972960608153
50111,1.7606614134188225
50112,1.8011410198313644
50113,1.782772915568621
50114,1.97266240826178
50115,2.09087517055072
50116,1.723179286210414
50117,1.838757828838145
50118,2.045879053923822
50119,1.652852578408433
50120,2.2617270292878624
50121,1.966054262663068
50122,0.9240790793920559
50123,2.1225400443937295
50124,1.667383557222184
50125,1.838147681876995
50126,1.654453969547736
50127,2.012520448098789
50128,1.596204511059312
50129,1.7637667190258144
50130,1.9316273580335221
50131,2.045113879726216
50132,1.7096049952157908
50133,1.7558586776645257
50134,1.819663626504088
50135,1.92448157561677
50136,1.7220134138881171
50137,1.8075793774253022
50138,1.7625853891845198
50139,1.697615841457519
50140,1.843903363742407
50141,2.5037662571179906
50142,1.8182802839972796
50143,1.5831645590095387
50144,1.8418173469253802
50145,2.14390191139171
50146,1.6613137681702126
50147,2.2862574846215193
50148,1.8976952190754814
50149,1.7911602806434654
50150,1.675013959875761
50151,1.6854081698493588
50152,1.798950199599454
50153,2.1454319936313433
50154,1.7356939622560232
50155,2.293678577078405
50156,2.2851029237204545
50157,1.0292830013192038
50158,1.8368604495970087
50159,1.2311875884892398
50160,1.6867036284807422
50161,2.1934164338220796
50162,2.415554184078796
50163,2.271917711159702
50164,1.8292756268367212
50165,1.5333191962242267
50166,1.4739628879588746
50167,1.8023017727371369
50168,1.556509953352204
50169,1.0666915918306374
50170,1.932734644529459
50171,2.168263575480677
50172,1.469256989346094
50173,2.0351196443443613
50174,2.101830232136768
50175,1.2657114522132922
50176,2.3888955612500573
50177,2.2718809171637835
50178,2.2483548729315173
50179,1.9832541213424344
50180,2.382468643522456
50181,1.4296833502684518
50182,2.1094828257681755
50183,1.5362979158018457
50184,2.2765286228022674
50185,1.4715430953500461
50186,2.1481062929220776
50187,2.4380590247116114
50188,2.2394999601014223
50189,2.1311695173240386
50190,2.4723897872520455
50191,2.4257602980265527
50192,2.164979437447018
50193,2.0895995309407898
50194,1.8099684899735835
50195,1.7282812447417064
50196,1.9282850124051762
50197,1.9604788381509177
50198,2.133186626242531
50199,2.1609831497776977
50200,1.8251317073530458
50201,2.5398615169417105
50202,1.565135143200624
50203,1.5140221638889995
50204,1.6827167952886422
